Software,Version,Dependent Toolchain,Module Load Command
Qt5,5.15.2,foss/2021b,`module load foss/2021b Qt5/5.15.2`
x264,20210613,foss/2021b,`module load foss/2021b x264/20210613`
LAME,3.100,foss/2021b,`module load foss/2021b LAME/3.100`
Yasm,1.3.0,foss/2021b,`module load foss/2021b Yasm/1.3.0`
x265,3.5,foss/2021b,`module load foss/2021b x265/3.5`
FFmpeg,4.3.2,foss/2021b,`module load foss/2021b FFmpeg/4.3.2`
scikit-build,0.11.1,foss/2021b,`module load foss/2021b scikit-build/0.11.1`
GDRCopy,2.3,foss/2021b,`module load foss/2021b GDRCopy/2.3`
UCX-CUDA,1.11.2-CUDA-11.4.1,foss/2021b,`module load foss/2021b UCX-CUDA/1.11.2-CUDA-11.4.1`
Tk,.8.6.11,foss/2021b,`module load foss/2021b Tk/.8.6.11`
Tk,8.6.11,foss/2021b,`module load foss/2021b Tk/8.6.11`
nettle,3.7.3,foss/2021b,`module load foss/2021b nettle/3.7.3`
Xvfb,1.20.13,foss/2021b,`module load foss/2021b Xvfb/1.20.13`
NLopt,2.7.0,foss/2021b,`module load foss/2021b NLopt/2.7.0`
UDUNITS,2.2.28,foss/2021b,`module load foss/2021b UDUNITS/2.2.28`
libogg,1.3.5,foss/2021b,`module load foss/2021b libogg/1.3.5`
FLAC,1.3.3,foss/2021b,`module load foss/2021b FLAC/1.3.3`
libvorbis,1.3.7,foss/2021b,`module load foss/2021b libvorbis/1.3.7`
libsndfile,1.0.31,foss/2021b,`module load foss/2021b libsndfile/1.0.31`
GLPK,5.0,foss/2021b,`module load foss/2021b GLPK/5.0`
Ghostscript,9.54.0,foss/2021b,`module load foss/2021b Ghostscript/9.54.0`
nodejs,14.17.6,foss/2021b,`module load foss/2021b nodejs/14.17.6`
LittleCMS,2.12,foss/2021b,`module load foss/2021b LittleCMS/2.12`
ImageMagick,7.1.0-4,foss/2021b,`module load foss/2021b ImageMagick/7.1.0-4`
MPFR,4.1.0,foss/2021b,`module load foss/2021b MPFR/4.1.0`
libgit2,1.1.1,foss/2021b,`module load foss/2021b libgit2/1.1.1`
protobuf,3.17.3,foss/2021b,`module load foss/2021b protobuf/3.17.3`
Zip,3.0,foss/2021b,`module load foss/2021b Zip/3.0`
Bazel,3.7.2,foss/2021b,`module load foss/2021b Bazel/3.7.2`
METIS,5.1.0,foss/2021b,`module load foss/2021b METIS/5.1.0`
ATK,2.36.0,foss/2021b,`module load foss/2021b ATK/2.36.0`
libepoxy,1.5.8,foss/2021b,`module load foss/2021b libepoxy/1.5.8`
at-spi2-core,2.40.3,foss/2021b,`module load foss/2021b at-spi2-core/2.40.3`
at-spi2-atk,2.38.0,foss/2021b,`module load foss/2021b at-spi2-atk/2.38.0`
GTK3,3.24.31,foss/2021b,`module load foss/2021b GTK3/3.24.31`
Emacs,27.2,foss/2021b,`module load foss/2021b Emacs/27.2`
cppy,1.1.0,foss/2021b,`module load foss/2021b cppy/1.1.0`
Tkinter,3.9.6,foss/2021b,`module load foss/2021b Tkinter/3.9.6`
Pillow,8.3.2,foss/2021b,`module load foss/2021b Pillow/8.3.2`
Pillow,8.2.0,foss/2021b,`module load foss/2021b Pillow/8.2.0`
make,4.3,foss/2021b,`module load foss/2021b make/4.3`
libgd,2.3.3,foss/2021b,`module load foss/2021b libgd/2.3.3`
libcerf,1.17,foss/2021b,`module load foss/2021b libcerf/1.17`
Lua,5.4.3,foss/2021b,`module load foss/2021b Lua/5.4.3`
gnuplot,5.4.2,foss/2021b,`module load foss/2021b gnuplot/5.4.2`
tbb,2020.3,foss/2021b,`module load foss/2021b tbb/2020.3`
protobuf-python,3.17.3,foss/2021b,`module load foss/2021b protobuf-python/3.17.3`
typing-extensions,3.10.0.2,foss/2021b,`module load foss/2021b typing-extensions/3.10.0.2`
typing-extensions,4.3.0,foss/2021b,`module load foss/2021b typing-extensions/4.3.0`
libyaml,0.2.5,foss/2021b,`module load foss/2021b libyaml/0.2.5`
PyYAML,5.4.1,foss/2021b,`module load foss/2021b PyYAML/5.4.1`
expecttest,0.1.3,foss/2021b,`module load foss/2021b expecttest/0.1.3`
NCCL,2.10.3-CUDA-11.4.1,foss/2021b,`module load foss/2021b NCCL/2.10.3-CUDA-11.4.1`
Pillow-SIMD,8.3.2,foss/2021b,`module load foss/2021b Pillow-SIMD/8.3.2`
Pillow-SIMD,8.2.0,foss/2021b,`module load foss/2021b Pillow-SIMD/8.2.0`
flatbuffers,2.0.0,foss/2021b,`module load foss/2021b flatbuffers/2.0.0`
pkgconfig,1.5.5-python,foss/2021b,`module load foss/2021b pkgconfig/1.5.5-python`
JsonCpp,1.9.4,foss/2021b,`module load foss/2021b JsonCpp/1.9.4`
LMDB,0.9.29,foss/2021b,`module load foss/2021b LMDB/0.9.29`
nsync,1.24.0,foss/2021b,`module load foss/2021b nsync/1.24.0`
flatbuffers-python,2.0,foss/2021b,`module load foss/2021b flatbuffers-python/2.0`
tqdm,4.62.3,foss/2021b,`module load foss/2021b tqdm/4.62.3`
XML-LibXML,2.0207,foss/2021b,`module load foss/2021b XML-LibXML/2.0207`
DB_File,1.857,foss/2021b,`module load foss/2021b DB_File/1.857`
BioPerl,1.7.8,foss/2021b,`module load foss/2021b BioPerl/1.7.8`
glew,2.2.0-glx,foss/2021b,`module load foss/2021b glew/2.2.0-glx`
GLFW,3.3.4,foss/2021b,`module load foss/2021b GLFW/3.3.4`
GLM,0.9.9.8,foss/2021b,`module load foss/2021b GLM/0.9.9.8`
OpenPGM,5.2.122,foss/2021b,`module load foss/2021b OpenPGM/5.2.122`
libsodium,1.0.18,foss/2021b,`module load foss/2021b libsodium/1.0.18`
ZeroMQ,4.3.4,foss/2021b,`module load foss/2021b ZeroMQ/4.3.4`
IPython,7.26.0,foss/2021b,`module load foss/2021b IPython/7.26.0`
JupyterLab,3.1.6,foss/2021b,`module load foss/2021b JupyterLab/3.1.6`
Qwt,6.2.0,foss/2021b,`module load foss/2021b Qwt/6.2.0`
mm-common,1.0.5,foss/2021b,`module load foss/2021b mm-common/1.0.5`
libxslt,1.1.34,foss/2021b,`module load foss/2021b libxslt/1.1.34`
GTS,0.7.6,foss/2021b,`module load foss/2021b GTS/0.7.6`
Graphviz,2.50.0,foss/2021b,`module load foss/2021b Graphviz/2.50.0`
libsigc++,3.2.0,foss/2021b,`module load foss/2021b libsigc++/3.2.0`
tcsh,6.24.01,foss/2021b,`module load foss/2021b tcsh/6.24.01`
motif,2.3.8,foss/2021b,`module load foss/2021b motif/2.3.8`
PyQt5,5.15.4,foss/2021b,`module load foss/2021b PyQt5/5.15.4`
libwebp,1.2.0,foss/2021b,`module load foss/2021b libwebp/1.2.0`
archspec,0.1.3,foss/2021b,`module load foss/2021b archspec/0.1.3`
Voro++,0.4.6,foss/2021b,`module load foss/2021b Voro++/0.4.6`
kim-api,2.3.0,foss/2021b,`module load foss/2021b kim-api/2.3.0`
xxd,8.2.4220,foss/2021b,`module load foss/2021b xxd/8.2.4220`
zlib,.1.2.12,foss/2022b,`module load foss/2022b zlib/.1.2.12`
help2man,.1.49.2,foss/2022b,`module load foss/2022b help2man/.1.49.2`
M4,.1.4.19,foss/2022b,`module load foss/2022b M4/.1.4.19`
Bison,.3.8.2,foss/2022b,`module load foss/2022b Bison/.3.8.2`
flex,.2.6.4,foss/2022b,`module load foss/2022b flex/.2.6.4`
binutils,.2.39,foss/2022b,`module load foss/2022b binutils/.2.39`
groff,.1.22.4,foss/2022b,`module load foss/2022b groff/.1.22.4`
expat,.2.4.9,foss/2022b,`module load foss/2022b expat/.2.4.9`
pkgconf,1.9.3,foss/2022b,`module load foss/2022b pkgconf/1.9.3`
libevent,2.1.12,foss/2022b,`module load foss/2022b libevent/2.1.12`
ncurses,.6.3,foss/2022b,`module load foss/2022b ncurses/.6.3`
libtool,.2.4.7,foss/2022b,`module load foss/2022b libtool/.2.4.7`
libreadline,.8.2,foss/2022b,`module load foss/2022b libreadline/.8.2`
DB,18.1.40,foss/2022b,`module load foss/2022b DB/18.1.40`
Perl,5.36.0,foss/2022b,`module load foss/2022b Perl/5.36.0`
Autoconf,.2.71,foss/2022b,`module load foss/2022b Autoconf/.2.71`
Automake,.1.16.5,foss/2022b,`module load foss/2022b Automake/.1.16.5`
Autotools,.20220317,foss/2022b,`module load foss/2022b Autotools/.20220317`
numactl,.2.0.16,foss/2022b,`module load foss/2022b numactl/.2.0.16`
UCX,1.13.1,foss/2022b,`module load foss/2022b UCX/1.13.1`
libfabric,.1.16.1,foss/2022b,`module load foss/2022b libfabric/.1.16.1`
xorg-macros,.1.19.3,foss/2022b,`module load foss/2022b xorg-macros/.1.19.3`
libpciaccess,.0.17,foss/2022b,`module load foss/2022b libpciaccess/.0.17`
UCC,1.1.0,foss/2022b,`module load foss/2022b UCC/1.1.0`
XZ,.5.2.7,foss/2022b,`module load foss/2022b XZ/.5.2.7`
libxml2,.2.10.3,foss/2022b,`module load foss/2022b libxml2/.2.10.3`
hwloc,.2.8.0,foss/2022b,`module load foss/2022b hwloc/.2.8.0`
PMIx,4.2.2,foss/2022b,`module load foss/2022b PMIx/4.2.2`
bzip2,.1.0.8,foss/2022b,`module load foss/2022b bzip2/.1.0.8`
cURL,.7.86.0,foss/2022b,`module load foss/2022b cURL/.7.86.0`
UnZip,6.0,foss/2022b,`module load foss/2022b UnZip/6.0`
libarchive,.3.6.1,foss/2022b,`module load foss/2022b libarchive/.3.6.1`
CMake,3.24.3,foss/2022b,`module load foss/2022b CMake/3.24.3`
libffi,.3.4.4,foss/2022b,`module load foss/2022b libffi/.3.4.4`
Tcl,8.6.12,foss/2022b,`module load foss/2022b Tcl/8.6.12`
SQLite,3.39.4,foss/2022b,`module load foss/2022b SQLite/3.39.4`
Python,3.10.8-bare,foss/2022b,`module load foss/2022b Python/3.10.8-bare`
Python,3.10.8,foss/2022b,`module load foss/2022b Python/3.10.8`
Rust,1.65.0,foss/2022b,`module load foss/2022b Rust/1.65.0`
GMP,.6.2.1,foss/2022b,`module load foss/2022b GMP/.6.2.1`
gettext,.0.21.1,foss/2022b,`module load foss/2022b gettext/.0.21.1`
git,2.38.1-nodocs,foss/2022b,`module load foss/2022b git/2.38.1-nodocs`
hypothesis,6.68.2,foss/2022b,`module load foss/2022b hypothesis/6.68.2`
Ninja,1.11.1,foss/2022b,`module load foss/2022b Ninja/1.11.1`
Meson,0.64.0,foss/2022b,`module load foss/2022b Meson/0.64.0`
Eigen,3.4.0,foss/2022b,`module load foss/2022b Eigen/3.4.0`
pybind11,2.10.3,foss/2022b,`module load foss/2022b pybind11/2.10.3`
OpenBLAS,0.3.9,foss/2020a,`module load foss/2020a OpenBLAS/0.3.9`
OpenMPI,4.0.3,foss/2020a,`module load foss/2020a`
GSL,2.6,foss/2020a,`module load foss/2020a GSL/2.6`
libxsmm,1.16.1,foss/2020b,`module load foss/2020b libxsmm/1.16.1`
GSL,2.6,foss/2020b,`module load foss/2020b GSL/2.6`
OpenBLAS,0.3.12,foss/2020b,`module load foss/2020b OpenBLAS/0.3.12`
Boost,1.74.0,foss/2020b,`module load foss/2020b Boost/1.74.0`
libxc,4.3.4,foss/2020b,`module load foss/2020b libxc/4.3.4`
Libint,2.6.0-lmax-6-cp2k,foss/2020b,`module load foss/2020b Libint/2.6.0-lmax-6-cp2k`
OpenMPI,4.0.5,foss/2020b,`module load foss/2020b`
CUDA,11.1.1,foss/2020b,`module load foss/2020b CUDA/11.1.1`
GSL,2.7,foss/2021a,`module load foss/2021a GSL/2.7`
OpenMPI,4.1.1,foss/2021a,`module load foss/2021a`
GEOS,3.9.1,foss/2021a,`module load foss/2021a GEOS/3.9.1`
OpenBLAS,0.3.15,foss/2021a,`module load foss/2021a OpenBLAS/0.3.15`
FlexiBLAS,3.0.4,foss/2021a,`module load foss/2021a FlexiBLAS/3.0.4`
Boost,1.76.0,foss/2021a,`module load foss/2021a Boost/1.76.0`
OpenMPI,4.1.1,foss/2021b,`module load foss/2021b`
OpenBLAS,0.3.18,foss/2021b,`module load foss/2021b OpenBLAS/0.3.18`
OpenBLAS,0.3.20,foss/2021b,`module load foss/2021b OpenBLAS/0.3.20`
BLIS,0.8.1,foss/2021b,`module load foss/2021b BLIS/0.8.1`
FlexiBLAS,3.0.4,foss/2021b,`module load foss/2021b FlexiBLAS/3.0.4`
FoX,4.1.2,foss/2021b,`module load foss/2021b FoX/4.1.2`
GEOS,3.9.1,foss/2021b,`module load foss/2021b GEOS/3.9.1`
Boost,1.77.0,foss/2021b,`module load foss/2021b Boost/1.77.0`
poppler,22.01.0,foss/2021b,`module load foss/2021b poppler/22.01.0`
GSL,2.7,foss/2021b,`module load foss/2021b GSL/2.7`
LAPACK,3.10.1,foss/2021b,`module load foss/2021b LAPACK/3.10.1`
AutoDock-GPU,1.5.3-CUDA-11.4.1,foss/2021b,`module load foss/2021b AutoDock-GPU/1.5.3-CUDA-11.4.1`
Bowtie2,2.4.4,foss/2021b,`module load foss/2021b Bowtie2/2.4.4`
SAMtools,1.15.1,foss/2021b,`module load foss/2021b SAMtools/1.15.1`
SAMtools,0.1.17,foss/2021b,`module load foss/2021b SAMtools/0.1.17`
Bowtie,1.3.1,foss/2021b,`module load foss/2021b Bowtie/1.3.1`
libxc,5.1.6,foss/2021b,`module load foss/2021b libxc/5.1.6`
texlive,20220321,foss/2021b,`module load foss/2021b texlive/20220321`
Boost.Python,1.77.0,foss/2021b,`module load foss/2021b Boost.Python/1.77.0`
OpenMPI,4.1.4,foss/2022b,`module load foss/2022b`
FFTW,3.3.10,foss/2022b,`module load foss/2022b FFTW/3.3.10`
BLIS,0.9.0,foss/2022b,`module load foss/2022b BLIS/0.9.0`
OpenBLAS,0.3.21,foss/2022b,`module load foss/2022b OpenBLAS/0.3.21`
FlexiBLAS,3.2.1,foss/2022b,`module load foss/2022b FlexiBLAS/3.2.1`
impi,2021.4.0,intel/2021b,`module load intel/2021b`
xmlf90,1.5.4,intel/2021b,`module load intel/2021b xmlf90/1.5.4`
libpsml,1.1.10,intel/2021b,`module load intel/2021b libpsml/1.1.10`
libxc,5.1.6,intel/2021b,`module load intel/2021b libxc/5.1.6`
impi,2021.2.0,intel/2021a,`module load intel/2021a`
libxc,5.1.5,intel/2021a,`module load intel/2021a libxc/5.1.5`
libxsmm,1.16.2,intel/2021a,`module load intel/2021a libxsmm/1.16.2`
Boost,1.76.0,intel/2021a,`module load intel/2021a Boost/1.76.0`
GSL,2.7,intel/2021a,`module load intel/2021a GSL/2.7`
FFTW,3.3.8,foss/2020a,`module load foss/2020a FFTW/3.3.8`
ScaLAPACK,2.1.0,foss/2020a,`module load foss/2020a ScaLAPACK/2.1.0`
LAMMPS,3Mar2020-Python-3.8.2-kokkos,foss/2020a,`module load foss/2020a LAMMPS/3Mar2020-Python-3.8.2-kokkos`
HDF5,1.10.6,foss/2020a,`module load foss/2020a HDF5/1.10.6`
netCDF,.4.7.4,foss/2020a,`module load foss/2020a netCDF/.4.7.4`
kim-api,2.1.3,foss/2020a,`module load foss/2020a kim-api/2.1.3`
ScaFaCoS,1.0.1,foss/2020a,`module load foss/2020a ScaFaCoS/1.0.1`
Boost,1.72.0,foss/2020a,`module load foss/2020a Boost/1.72.0`
SciPy-bundle,2020.03-Python-3.8.2,foss/2020a,`module load foss/2020a SciPy-bundle/2020.03-Python-3.8.2`
h5py,2.10.0-Python-3.8.2,foss/2020a,`module load foss/2020a h5py/2.10.0-Python-3.8.2`
matplotlib,3.2.1-Python-3.8.2,foss/2020a,`module load foss/2020a matplotlib/3.2.1-Python-3.8.2`
PLUMED,2.6.0-Python-3.8.2,foss/2020a,`module load foss/2020a PLUMED/2.6.0-Python-3.8.2`
molmod,1.4.5-Python-3.8.2,foss/2020a,`module load foss/2020a molmod/1.4.5-Python-3.8.2`
yaff,1.6.0-Python-3.8.2,foss/2020a,`module load foss/2020a yaff/1.6.0-Python-3.8.2`
VTK,8.2.0-Python-3.8.2,foss/2020a,`module load foss/2020a VTK/8.2.0-Python-3.8.2`
imkl,2020.1.217,foss/2020a,`module load foss/2020a imkl/2020.1.217`
scikit-build,0.10.0-Python-3.8.2,foss/2020a,`module load foss/2020a scikit-build/0.10.0-Python-3.8.2`
networkx,2.4-Python-3.8.2,foss/2020a,`module load foss/2020a networkx/2.4-Python-3.8.2`
GROMACS,2020.4-Python-3.8.2,foss/2020a,`module load foss/2020a GROMACS/2020.4-Python-3.8.2`
fluent,19.4.0,foss/2020a,`module load foss/2020a fluent/19.4.0`
fluent,20.1.0,foss/2020a,`module load foss/2020a fluent/20.1.0`
SCOTCH,6.0.9,foss/2020a,`module load foss/2020a SCOTCH/6.0.9`
CGAL,4.14.3-Python-3.8.2,foss/2020a,`module load foss/2020a CGAL/4.14.3-Python-3.8.2`
ParaView,5.8.0-Python-3.8.2-mpi,foss/2020a,`module load foss/2020a ParaView/5.8.0-Python-3.8.2-mpi`
OpenFOAM,8,foss/2020a,`module load foss/2020a OpenFOAM/8`
Arrow,0.17.1-Python-3.8.2,foss/2020a,`module load foss/2020a Arrow/0.17.1-Python-3.8.2`
Spark,3.1.2-Python-3.8.2,foss/2020a,`module load foss/2020a Spark/3.1.2-Python-3.8.2`
GULP,6.0,foss/2020a,`module load foss/2020a GULP/6.0`
netCDF-Fortran,4.5.2,foss/2020a,`module load foss/2020a netCDF-Fortran/4.5.2`
ELPA,2019.11.001,foss/2020a,`module load foss/2020a ELPA/2019.11.001`
Siesta,4.1.5,foss/2020a,`module load foss/2020a Siesta/4.1.5`
ASE,3.21.1-Python-3.8.2,foss/2020a,`module load foss/2020a ASE/3.21.1-Python-3.8.2`
spglib-python,1.16.0-Python-3.8.2,foss/2020a,`module load foss/2020a spglib-python/1.16.0-Python-3.8.2`
ScaLAPACK,2.1.0,foss/2020b,`module load foss/2020b ScaLAPACK/2.1.0`
FFTW,3.3.8,foss/2020b,`module load foss/2020b FFTW/3.3.8`
SciPy-bundle,2020.11,foss/2020b,`module load foss/2020b SciPy-bundle/2020.11`
PLUMED,2.6.2,foss/2020b,`module load foss/2020b PLUMED/2.6.2`
CP2K,7.1,foss/2020b,`module load foss/2020b CP2K/7.1`
HDF5,1.10.7,foss/2021a,`module load foss/2021a HDF5/1.10.7`
FFTW,3.3.9,foss/2021a,`module load foss/2021a FFTW/3.3.9`
netCDF,.4.8.0,foss/2021a,`module load foss/2021a netCDF/.4.8.0`
ScaLAPACK,2.1.0-fb,foss/2021a,`module load foss/2021a ScaLAPACK/2.1.0-fb`
SciPy-bundle,2021.05,foss/2021a,`module load foss/2021a SciPy-bundle/2021.05`
GDAL,.3.3.0,foss/2021a,`module load foss/2021a GDAL/.3.3.0`
R,4.1.0,foss/2021a,`module load foss/2021a R/4.1.0`
VTK,9.0.1,foss/2021a,`module load foss/2021a VTK/9.0.1`
h5py,3.2.1,foss/2021a,`module load foss/2021a h5py/3.2.1`
FFTW,3.3.10,foss/2021b,`module load foss/2021b FFTW/3.3.10`
ScaLAPACK,2.1.0-fb,foss/2021b,`module load foss/2021b ScaLAPACK/2.1.0-fb`
HDF5,1.10.8,foss/2021b,`module load foss/2021b HDF5/1.10.8`
HDF5,1.12.1,foss/2021b,`module load foss/2021b HDF5/1.12.1`
ORCA,5.0.3,foss/2021b,`module load foss/2021b ORCA/5.0.3`
Boost,1.77.0,foss/2021b,`module load foss/2021b Boost/1.77.0`
Boost,1.79.0,foss/2021b,`module load foss/2021b Boost/1.79.0`
netCDF,.4.8.1,foss/2021b,`module load foss/2021b netCDF/.4.8.1`
netCDF,4.8.1,foss/2021b,`module load foss/2021b netCDF/4.8.1`
SciPy-bundle,2021.10,foss/2021b,`module load foss/2021b SciPy-bundle/2021.10`
GDAL,.3.3.2,foss/2021b,`module load foss/2021b GDAL/.3.3.2`
GDAL,3.3.2,foss/2021b,`module load foss/2021b GDAL/3.3.2`
SUMO,1.12.0,foss/2021b,`module load foss/2021b SUMO/1.12.0`
OpenSceneGraph,3.6.5,foss/2021b,`module load foss/2021b OpenSceneGraph/3.6.5`
networkx,2.6.3,foss/2021b,`module load foss/2021b networkx/2.6.3`
GROMACS,2021.5-CUDA-11.4.1,foss/2021b,`module load foss/2021b GROMACS/2021.5-CUDA-11.4.1`
GROMACS,2021.5,foss/2021b,`module load foss/2021b GROMACS/2021.5`
R,4.2.0,foss/2021b,`module load foss/2021b R/4.2.0`
matplotlib,3.4.3,foss/2021b,`module load foss/2021b matplotlib/3.4.3`
netCDF-Fortran,4.5.3,foss/2021b,`module load foss/2021b netCDF-Fortran/4.5.3`
PnetCDF,1.12.3,foss/2021b,`module load foss/2021b PnetCDF/1.12.3`
SCOTCH,6.1.2,foss/2021b,`module load foss/2021b SCOTCH/6.1.2`
CGAL,4.14.3,foss/2021b,`module load foss/2021b CGAL/4.14.3`
ParaView,5.9.1-mpi,foss/2021b,`module load foss/2021b ParaView/5.9.1-mpi`
OpenFOAM,v2112,foss/2021b,`module load foss/2021b OpenFOAM/v2112`
VTK,9.1.0,foss/2021b,`module load foss/2021b VTK/9.1.0`
VTK,8.2.0,foss/2021b,`module load foss/2021b VTK/8.2.0`
OpenCASCADE,7.6.0,foss/2021b,`module load foss/2021b OpenCASCADE/7.6.0`
OpenCASCADE,7.4.0,foss/2021b,`module load foss/2021b OpenCASCADE/7.4.0`
blaze,3.8.1,foss/2021b,`module load foss/2021b blaze/3.8.1`
irrlicht,1.8.5,foss/2021b,`module load foss/2021b irrlicht/1.8.5`
Chrono,7.0.3,foss/2021b,`module load foss/2021b Chrono/7.0.3`
magma,2.6.2-CUDA-11.4.1,foss/2021b,`module load foss/2021b magma/2.6.2-CUDA-11.4.1`
PyTorch,1.11.0-CUDA-11.4.1,foss/2021b,`module load foss/2021b PyTorch/1.11.0-CUDA-11.4.1`
h5py,3.6.0,foss/2021b,`module load foss/2021b h5py/3.6.0`
tensorboard,2.11.0,foss/2021b,`module load foss/2021b tensorboard/2.11.0`
torchvision,0.12.0-CUDA-11.4.1,foss/2021b,`module load foss/2021b torchvision/0.12.0-CUDA-11.4.1`
PyTorch-Lightning,1.7.7-CUDA-11.4.1,foss/2021b,`module load foss/2021b PyTorch-Lightning/1.7.7-CUDA-11.4.1`
Horovod,0.26.1-CUDA-11.4.1-PyTorch-1.11.0,foss/2021b,`module load foss/2021b Horovod/0.26.1-CUDA-11.4.1-PyTorch-1.11.0`
Bio-SamTools,1.43-Perl-5.34.0,foss/2021b,`module load foss/2021b Bio-SamTools/1.43-Perl-5.34.0`
Trinity,2.14.0,foss/2021b,`module load foss/2021b Trinity/2.14.0`
bitarray,2.6.0-Python-3.9.6,foss/2021b,`module load foss/2021b bitarray/2.6.0-Python-3.9.6`
ELPA,2021.05.001,foss/2021b,`module load foss/2021b ELPA/2021.05.001`
QuantumESPRESSO,7.1,foss/2021b,`module load foss/2021b QuantumESPRESSO/7.1`
AFNI,23.0.04-Python-3.9.6,foss/2021b,`module load foss/2021b AFNI/23.0.04-Python-3.9.6`
Biopython,1.79,foss/2021b,`module load foss/2021b Biopython/1.79`
MDAnalysis,2.0.0,foss/2021b,`module load foss/2021b MDAnalysis/2.0.0`
perm-md-count,main,foss/2021b,`module load foss/2021b perm-md-count/main`
RIP-MD,master,foss/2021b,`module load foss/2021b RIP-MD/master`
scikit-learn,1.0.1,foss/2021b,`module load foss/2021b scikit-learn/1.0.1`
OpenCV,4.5.5-contrib,foss/2021b,`module load foss/2021b OpenCV/4.5.5-contrib`
psutil,5.9.3-Python-3.9.6,foss/2021b,`module load foss/2021b psutil/5.9.3-Python-3.9.6`
mmcv-full,1.7.1-CUDA-11.4.1,foss/2021b,`module load foss/2021b mmcv-full/1.7.1-CUDA-11.4.1`
Seaborn,0.11.2,foss/2021b,`module load foss/2021b Seaborn/0.11.2`
OVITO,3.7.11-basic,foss/2021b,`module load foss/2021b OVITO/3.7.11-basic`
Boost.MPI,1.77.0,foss/2021b,`module load foss/2021b Boost.MPI/1.77.0`
pyh5md,1.0.0,foss/2021b,`module load foss/2021b pyh5md/1.0.0`
espresso,3.0.0,foss/2021b,`module load foss/2021b espresso/3.0.0`
ScaFaCoS,1.0.1,foss/2021b,`module load foss/2021b ScaFaCoS/1.0.1`
PLUMED,2.7.3,foss/2021b,`module load foss/2021b PLUMED/2.7.3`
LAMMPS,23Jun2022-kokkos-CUDA-11.4.1,foss/2021b,`module load foss/2021b LAMMPS/23Jun2022-kokkos-CUDA-11.4.1`
FFTW.MPI,3.3.10,foss/2022b,`module load foss/2022b FFTW.MPI/3.3.10`
ScaLAPACK,2.2.0-fb,foss/2022b,`module load foss/2022b ScaLAPACK/2.2.0-fb`
imkl-FFTW,2021.4.0,intel/2021b,`module load intel/2021b imkl-FFTW/2021.4.0`
HPL,2.3,intel/2021b,`module load intel/2021b HPL/2.3`
ELPA,2021.11.001,intel/2021b,`module load intel/2021b ELPA/2021.11.001`
libGridXC,0.9.6,intel/2021b,`module load intel/2021b libGridXC/0.9.6`
HDF5,1.12.1,intel/2021b,`module load intel/2021b HDF5/1.12.1`
netCDF,.4.8.1,intel/2021b,`module load intel/2021b netCDF/.4.8.1`
netCDF-Fortran,4.5.3,intel/2021b,`module load intel/2021b netCDF-Fortran/4.5.3`
Siesta,master-4.1.5,intel/2021b,`module load intel/2021b Siesta/master-4.1.5`
blaze,3.8.1,intel/2021b,`module load intel/2021b blaze/3.8.1`
imkl,2021.2.0,intel/2021a,`module load intel/2021a imkl/2021.2.0`
HDF5,1.10.7,intel/2021a,`module load intel/2021a HDF5/1.10.7`
netCDF,.4.8.0,intel/2021a,`module load intel/2021a netCDF/.4.8.0`
netCDF-Fortran,4.5.3,intel/2021a,`module load intel/2021a netCDF-Fortran/4.5.3`
Yambo,5.0.4,intel/2021a,`module load intel/2021a Yambo/5.0.4`
ELPA,2021.05.001,intel/2021a,`module load intel/2021a ELPA/2021.05.001`
QuantumESPRESSO,6.8,intel/2021a,`module load intel/2021a QuantumESPRESSO/6.8`
FFTW,3.3.9,intel/2021a,`module load intel/2021a FFTW/3.3.9`
Libint,2.6.0-lmax-6-cp2k,intel/2021a,`module load intel/2021a Libint/2.6.0-lmax-6-cp2k`
SciPy-bundle,2021.05,intel/2021a,`module load intel/2021a SciPy-bundle/2021.05`
PLUMED,2.7.2,intel/2021a,`module load intel/2021a PLUMED/2.7.2`
CP2K,8.2,intel/2021a,`module load intel/2021a CP2K/8.2`
